locations,lat,lng
"Bangunan MPBP, Jalan Pejabat, Kampung Bahagia, 83000 Batu Pahat, Johor, Malaysia",1.8464774,102.9353017
"Majlis Perbandaran Johor Bahru Tengah, Jalan Bertingkat Skudai, Skudai, 81300 Johor Bahru, Johor, Malaysia",1.5371407,103.6623899
"Peti Surat 232, Jalan Dato Onn, Bandar Johor Bahru, 80720 Johor Bahru, Johor, Malaysia",1.4558838,103.7615357
"19745, Jalan Yahya Awal, Kampung Mahmoddiah, 80100 Johor Bahru, Johor, Malaysia",1.4672493,103.7513393
"Kluang, Johor, Malaysia",2.030068,103.3184639
"Kota Tinggi, Johor, Malaysia",1.7353328,103.9006687
"Taman Kulai Besar, 81000 Kulai, Johor, Malaysia",1.6585754,103.6064712
"Aras 5 Blok 'B' Pusat Islam Iskandar Johor, Jalan Masjid Abu Bakar, Masjid Sultan Abu Bakar, 80000 Johor Bahru, Johor, Malaysia",1.458066,103.750087
"Mersing District, Johor, Malaysia",2.4328868,103.8397388
"Karung Berkunci No 516, Pekan Muar, 84009 Muar, Johor, Malaysia",2.0471092,102.5654008
"Pasir Gudang, Johor, Malaysia",1.470288,103.9029689
"Bangunan Dato Mohamad Salleh Perang, 79576, Kota Iskandar, 79100 Nusajaya, Johor, Malaysia",1.4199691,103.6497462
"LEVEL 3.1, BANGUNAN PERBADANAN ISLAM JOHOR, Jalan Rebana, Taman Kebun Teh, 80250 Johor Bahru, Johor, Malaysia",1.4953783,103.7597092
"Pontian District, Johor, Malaysia",1.485561,103.3878589
"Simpang Renggam, Johor, Malaysia",1.827292,103.3099852
"Kampung Tanjung Laboh, 84900 Tangkak, Johor, Malaysia",2.2718383,102.5280022
"Kulim, Kedah, Malaysia",5.371742,100.5553372
"Langkawi, 07000 Langkawi, Kedah, Malaysia",6.35,99.8
"Tingkat 4 dan 5, Menara Guru, Persiaran Sultan Abdul Hamid, Taman Teratai Jingga, 05050 Alor Setar, Kedah, Malaysia",6.1006508,100.3603991
"Pendang, Kedah, Malaysia",5.993039,100.4773388
"Sik, Kedah, Malaysia",5.818345,100.743021
"Sik, Kedah, Malaysia",5.818345,100.743021
"Majlis Perbandaran Sungai Petani Bangunan SP Plaza Sungai Petani, Kedah, Taman Lagenda Indah, 08000 Sungai Petani, Kedah, Malaysia",5.6679856,100.4817404
"Pejabat Tanah dan Jajahan Bachok, 16300 Bachok, Kelantan, Malaysia",6.0561609,102.3919307
"18300 Gua Musang, Kelantan, Malaysia",4.884279,101.968178
"18300 Gua Musang, Kelantan, Malaysia",4.884279,101.968178
